day,image_url
Sunday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/649.png
Monday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/645.png
Tuesday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/649.png
Wednesday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/645.png
Thursday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/649.png
Friday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/658.png
Saturday,https://raw.githubusercontent.com/David-Monreal/LRSPhOff/main/creatives/655.png
